Timestamp,size
2022-01-01 11:15:00,380130.5
2022-01-01 11:45:00,464522.5
2022-01-01 12:15:00,825867
2022-01-01 12:45:00,684324.5
2022-01-01 13:15:00,411479.5
2022-01-01 13:45:00,380775.5
2022-01-01 14:15:00,494681
2022-01-01 14:45:00,587216.5
2022-01-01 15:15:00,306274.5
2022-01-01 15:45:00,292880.5
2022-01-01 16:15:00,1024308.5
2022-01-01 16:45:00,1596719.5
2022-01-01 17:15:00,1230800.5
2022-01-01 17:45:00,308228
2022-01-01 18:15:00,171845.5
2022-01-01 18:45:00,451913.5
2022-01-01 19:15:00,168490
2022-01-01 19:45:00,408277.5
2022-01-01 20:15:00,500238.5
2022-01-01 20:45:00,288301
2022-01-01 21:15:00,256308.5
2022-01-01 21:45:00,739783
2022-01-01 22:15:00,218794.5
2022-01-01 22:45:00,1328212.5
2022-01-01 23:15:00,780095.5
2022-01-01 23:45:00,479472.5
2022-01-02 00:15:00,171014
2022-01-02 00:45:00,332124.5
2022-01-02 01:15:00,171437.5
2022-01-02 01:45:00,456926
2022-01-02 02:15:00,605297
2022-01-02 02:45:00,274000.5
2022-01-02 03:15:00,302173
2022-01-02 03:45:00,447005.5
2022-01-02 04:15:00,386532.5
2022-01-02 04:45:00,178519
2022-01-02 05:15:00,387555.5
2022-01-02 05:45:00,1021402.5
2022-01-02 06:15:00,477524.5
2022-01-02 06:45:00,606899.5
2022-01-02 07:15:00,117917.5
2022-01-02 07:45:00,278736
2022-01-02 08:15:00,310244.5
2022-01-02 08:45:00,102479.5
2022-01-02 09:15:00,983626
2022-01-02 09:45:00,175389.5
2022-01-02 10:15:00,498341.5
2022-01-02 10:45:00,139315
2022-01-02 11:15:00,166204
2022-01-02 11:45:00,562030
2022-01-02 12:15:00,134749.5
2022-01-02 12:45:00,395258.5
2022-01-02 13:15:00,943228
2022-01-02 13:45:00,1446917.5
2022-01-02 14:15:00,750822
2022-01-02 14:45:00,415281
2022-01-02 15:15:00,1496285
2022-01-02 15:45:00,1955730
2022-01-02 16:15:00,1436833.5
2022-01-02 16:45:00,3056564
2022-01-02 17:15:00,588203
2022-01-02 17:45:00,719819
2022-01-02 18:15:00,2839372.5
2022-01-02 18:45:00,2962315
2022-01-02 19:15:00,262718
2022-01-02 19:45:00,972925
2022-01-02 20:15:00,3112752.5
2022-01-02 20:45:00,497772
2022-01-02 21:15:00,201271.5
2022-01-02 21:45:00,1633376
2022-01-02 22:15:00,3414221
2022-01-02 22:45:00,2332711
2022-01-02 23:15:00,1608574
2022-01-02 23:45:00,685319
2022-01-03 00:15:00,159177.5
2022-01-03 00:45:00,208495.5
2022-01-03 01:15:00,460887
2022-01-03 01:45:00,1323365
2022-01-03 02:15:00,880080
2022-01-03 02:45:00,420628
2022-01-03 03:15:00,210411.5
2022-01-03 03:45:00,424474
2022-01-03 04:15:00,1253830
2022-01-03 04:45:00,104578
2022-01-03 05:15:00,361660
2022-01-03 05:45:00,1546798
2022-01-03 06:15:00,2077930.5
2022-01-03 06:45:00,519082
2022-01-03 07:15:00,729922
2022-01-03 07:45:00,642931.5
2022-01-03 08:15:00,447223.5
2022-01-03 08:45:00,1961699.5
2022-01-03 09:15:00,1742993
2022-01-03 09:45:00,457953.5
2022-01-03 10:15:00,1714395
2022-01-03 10:45:00,4797987
2022-01-03 11:15:00,7061309.5
2022-01-03 11:45:00,7505525
2022-01-03 12:15:00,8892288
2022-01-03 12:45:00,5880589
2022-01-03 13:15:00,4937777.5
2022-01-03 13:45:00,4205145
2022-01-03 14:15:00,3674035
2022-01-03 14:45:00,3641928.5
2022-01-03 15:15:00,3567065
2022-01-03 15:45:00,2091446.5
2022-01-03 16:15:00,3322028
2022-01-03 16:45:00,3107760
2022-01-03 17:15:00,3223334.5
2022-01-03 17:45:00,2580129
2022-01-03 18:15:00,839483.5
2022-01-03 18:45:00,787306
2022-01-03 19:15:00,1930133
2022-01-03 19:45:00,2422031.5
2022-01-03 20:15:00,2482183
2022-01-03 20:45:00,3830187
